id	status	selected	date	year	type	title	authors	venue	doi	pdf_url	code_url	project_ids	corresponding_authors	notes
clumppling2026	published	false	2026-02-01	2026	Technical note	Clumppling 2.0: A clustering-alignment program for population-structure analyses	Xiran Liu | Noah A. Rosenberg | Sohini Ramachandran	Human Population Genetics and Genomics	10.47248/hpgg2606020004		https://github.com/PopGenClustering/Clumppling	clumppling	Xiran Liu	
kalignedoscope2026	published	false	2026-02-01	2026	Technical note	KAlignedoscope: an interactive visualization tool for aligned clustering results	Anqi Guo | Sohini Ramachandran | Xiran Liu	Human Population Genetics and Genomics	10.47248/hpgg2606020006		https://github.com/ramachandran-lab/KAlignedoscope	clumppling	Sohini Ramachandran | Xiran Liu	
aceofclust2026	published	false	2026-03-09	2026	Preprint	Systematic clustering alignment and feature characterization for single-cell omics using ACE-OF-Clust	Xiran Liu | Ritam Singh | Sohini Ramachandran	bioRxiv	10.64898/2026.03.09.710668			single-cell-alignment	Xiran Liu	
mlmages-gr2025	published	true	2025-08-01	2025	Journal article	ML-MAGES enables multivariate genetic association analyses with genes and effect size shrinkage	Xiran Liu | Lorin Crawford | Sohini Ramachandran	Genome Research	10.1101/gr.280440.125		https://github.com/ramachandran-lab/ML-MAGES	ml-mages	Xiran Liu	
using2025	published	true	2025-06-17	2025	Journal article	Using mathematical constraints to explain narrow ranges for allele-sharing dissimilarities	Xiran Liu | Zarif Ahsan | Noah A. Rosenberg	Theoretical Population Biology	10.1016/j.tpb.2025.05.002			allele-sharing	Xiran Liu	
combinatorics2024	published	false	2024-09-30	2024	Preprint	Combinatorics of a dissimilarity measure for pairs of draws from discrete probability vectors on finite sets of objects	Zarif Ahsan | Xiran Liu | Noah A. Rosenberg	arXiv	10.48550/arXiv.2410.00221			allele-sharing	Noah A. Rosenberg	
clumppling2024	published	true	2024-01-01	2024	Journal article	Clumppling: cluster matching and permutation program with integer linear programming	Xiran Liu | Naama M. Kopelman | Noah A. Rosenberg	Bioinformatics	10.1093/bioinformatics/btad751	/files/LiuEtAl2024Clumppling.pdf	https://github.com/PopGenClustering/Clumppling	clumppling	Xiran Liu | Noah A. Rosenberg	
when2023	published	false	2023-12-12	2023	Journal article	When is the allele-sharing dissimilarity between two populations exceeded by the allele-sharing dissimilarity of a population with itself?	Xiran Liu | Zarif Ahsan | Tarun K. Martheswaran | Noah A. Rosenberg	Statistical Applications in Genetics and Molecular Biology	10.1515/sagmb-2023-0004			allele-sharing	Xiran Liu	
dirichlet2022	published	false	2022-11-10	2022	Journal article	A Dirichlet model of alignment cost in mixed-membership unsupervised clustering	Xiran Liu | Naama M. Kopelman | Noah A. Rosenberg	Journal of Computational and Graphical Statistics	10.1080/10618600.2022.2127739			clumppling	Noah A. Rosenberg	
deconvoluting2022	published	false	2022-08-30	2022	Journal article	Deconvoluting complex correlates of COVID-19 severity with a multi-omic pandemic tracking strategy	Victoria N. Parikh | Alexander G. Ioannidis | David Jimenez-Morales | John E. Gorzynski | Hannah N. De Jong | Xiran Liu | and collaborators	Nature Communications	10.1038/s41467-022-32397-8					
extracting2022	published	false	2022-05-02	2022	Journal article	Extracting hierarchical features of cultural variation using network-based clustering	Xiran Liu | Noah A. Rosenberg | Gili Greenbaum	Evolutionary Human Sciences	10.1017/ehs.2022.15			cultural-evolution	Noah A. Rosenberg | Gili Greenbaum	
effects2021	published	false	2021-10-01	2021	Journal article	Effects of cultural transmission of surnaming decisions on the sex ratio at birth	Xiran Liu | Marcus W. Feldman	Theoretical Population Biology	10.1016/j.tpb.2021.07.001			cultural-evolution	Marcus W. Feldman	
diffusion2020	published	false	2020-10-15	2020	Journal article	Diffusion histology imaging combining diffusion basis spectrum imaging (DBSI) and machine learning improves detection and classification of glioblastoma pathology	Zezhong Ye | Richard L. Price | Xiran Liu | and collaborators	Clinical Cancer Research	10.1158/1078-0432.CCR-20-0736					
